x   y   z   z_sp   dzdx   dzdx_sp   dzdy   dzdy_sp
-5.000000e+00   -5.880881e+00   3.023678e-19   3.023678e-19   3.023678e-18   3.023865e-18   9.071035e-19   9.071035e-19
-5.000000e+00   -5.879880e+00   3.032772e-19   3.032772e-19   3.032772e-18   3.032959e-18   9.098317e-19   9.098317e-19
-5.000000e+00   -5.878879e+00   3.041893e-19   3.041893e-19   3.041893e-18   3.042081e-18   9.125680e-19   9.125680e-19
-5.000000e+00   -5.877878e+00   3.051042e-19   3.051042e-19   3.051042e-18   3.051230e-18   9.153126e-19   9.153126e-19
-5.000000e+00   -5.876877e+00   3.060218e-19   3.060218e-19   3.060218e-18   3.060407e-18   9.180654e-19   9.180654e-19
-5.000000e+00   -5.875876e+00   3.069422e-19   3.069422e-19   3.069422e-18   3.069611e-18   9.208265e-19   9.208265e-19
-5.000000e+00   -5.874875e+00   3.078653e-19   3.078653e-19   3.078653e-18   3.078843e-18   9.235959e-19   9.235959e-19
-5.000000e+00   -5.873874e+00   3.087912e-19   3.087912e-19   3.087912e-18   3.088103e-18   9.263736e-19   9.263736e-19
-5.000000e+00   -5.872873e+00   3.097199e-19   3.097199e-19   3.097199e-18   3.097390e-18   9.291597e-19   9.291597e-19
-5.000000e+00   -5.871872e+00   3.106514e-19   3.106514e-19   3.106514e-18   3.106706e-18   9.319542e-19   9.319542e-19
-5.000000e+00   -5.870871e+00   3.115857e-19   3.115857e-19   3.115857e-18   3.116049e-18   9.347570e-19   9.347570e-19
-5.000000e+00   -5.869870e+00   3.125228e-19   3.125228e-19   3.125228e-18   3.125421e-18   9.375683e-19   9.375683e-19
-5.000000e+00   -5.868869e+00   3.134627e-19   3.134627e-19   3.134627e-18   3.134820e-18   9.403881e-19   9.403881e-19
-5.000000e+00   -5.867868e+00   3.144054e-19   3.144054e-19   3.144054e-18   3.144248e-18   9.432163e-19   9.432163e-19
-5.000000e+00   -5.866867e+00   3.153510e-19   3.153510e-19   3.153510e-18   3.153705e-18   9.460530e-19   9.460530e-19
-5.000000e+00   -5.865866e+00   3.162994e-19   3.162994e-19   3.162994e-18   3.163190e-18   9.488983e-19   9.488983e-19
-5.000000e+00   -5.864865e+00   3.172507e-19   3.172507e-19   3.172507e-18   3.172703e-18   9.517521e-19   9.517521e-19
-5.000000e+00   -5.863864e+00   3.182049e-19   3.182049e-19   3.182049e-18   3.182245e-18   9.546146e-19   9.546146e-19
-5.000000e+00   -5.862863e+00   3.191619e-19   3.191619e-19   3.191619e-18   3.191816e-18   9.574856e-19   9.574856e-19
-5.000000e+00   -5.861862e+00   3.201217e-19   3.201217e-19   3.201217e-18   3.201415e-18   9.603652e-19   9.603652e-19
-5.000000e+00   -5.860861e+00   3.210845e-19   3.210845e-19   3.210845e-18   3.211043e-18   9.632535e-19   9.632535e-19
-5.000000e+00   -5.859860e+00   3.220502e-19   3.220502e-19   3.220502e-18   3.220701e-18   9.661505e-19   9.661505e-19
-5.000000e+00   -5.858859e+00   3.230188e-19   3.230188e-19   3.230188e-18   3.230387e-18   9.690563e-19   9.690563e-19
